id,user,likes,dislikes,followers
3,vhowgego2,3095,3132,18137
4,mmcsporrin3,617,3034,13931
5,htacker4,2671,2975,15517
6,bhutchence5,1265,2375,10081
8,pcucinotta7,1669,3425,11805
13,hfenlonc,3135,3166,12762
18,rrosewarneh,1390,1593,10668
20,dgannanj,1639,2032,14758
21,emulqueenk,1241,3271,12035
27,jlysterq,1579,2712,15191
29,gmerrgans,926,3178,10800
30,kdalgarnot,1783,1863,19596
33,scroalw,1163,2811,17381
34,nlearnedx,904,2254,15867
38,ayea11,1289,2719,14116
42,kitzakovitz15,630,1755,17866
44,ojanu17,1702,2122,14312
46,aferneyhough19,525,2833,18478
49,mboycott1c,2731,3106,13980
51,jnorsworthy1e,904,1741,12369
53,jsaing1g,2716,3260,16739
55,ctabour1i,2046,2625,11037
56,mtithecott1j,772,2726,19892
59,nkubicek1m,848,1041,16205
61,szupo1o,755,1015,11336
63,cgossling1q,1210,2610,11534
64,snoller1r,1835,3176,18714
67,chintzer1u,2241,2657,11151
69,gletts1w,828,1085,17387
70,jjosefsen1x,2048,2942,10875
71,tmckeaney1y,801,3262,16227
76,mgerriet23,714,1196,11249
79,kklemencic26,1427,2532,14847
82,rphilp29,1422,1490,12553
84,skingston2b,1994,2517,18981
85,fstollhofer2c,1325,2564,12684
87,dkeilty2e,1144,2373,10886
88,lholbarrow2f,1806,2393,13676
93,dgoracci2k,762,3122,15104
96,lkabsch2n,750,3002,11609
98,cdarkott2p,1743,1798,17280
99,apetrecz2q,731,1020,11736
100,bgreser2r,1943,2837,11917
